pixel	charge_cc_ff	charge_averagewf_ff
320	1.0191386	1.1071689
321	1.0190251	1.0680964
322	0.96938807	0.96614486
323	0.98388815	1.0265309
324	0.9967873	1.0186815
325	1.0116305	1.0806035
326	0.9870334	1.0319345
327	1.0315557	1.0668087
328	1.0395046	1.0991856
329	1.0087924	1.0786431
330	0.9610134	0.9599702
331	1.0170991	1.0659449
332	0.9486569	0.9427219
333	0.99100727	1.037574
334	0.99271965	1.0363427
335	0.9984558	1.0333656
336	1.0042205	1.0571059
337	0.99904054	1.0000854
338	1.0529836	1.1420497
339	1.0606116	1.1217078
340	1.0463623	1.0845368
341	1.01342	1.0088284
342	1.0093057	1.034955
343	1.0092279	1.0132374
344	0.9921821	1.0347478
345	1.0214436	1.0738701
346	0.9380534	0.97702175
347	0.97865623	1.0054612
348	1.0386392	1.0764053
349	1.0624759	1.0725728
350	1.0298831	1.0346884
351	0.99693424	1.0524296
352	1.0347894	1.1087942
353	1.040215	1.1381392
354	1.0118858	1.0510526
355	1.0052232	0.99366015
356	0.92592555	0.9472517
357	1.279583	1.2369181
358	1.030198	1.0633035
359	1.0259091	1.0470436
360	0.9294983	0.9178892
361	0.9819025	1.0014317
362	0.920711	0.9277995
363	0.95799166	0.9771076
364	1.0275558	1.1059391
365	0.995577	1.032104
366	1.0074068	1.0162753
367	0.94886565	0.95517814
368	0.91299045	0.9082787
369	0.9657014	0.9463202
370	0.951318	0.9407182
371	0.95550895	0.96951264
372	0.9901272	0.95301306
373	0.99162555	0.9371949
374	1.016419	1.0400238
375	1.0564005	1.0508641
376	1.0076642	0.9668651
377	0.955114	0.8865368
378	1.0161407	0.99574286
379	1.0243682	0.99714917
380	0.9889229	0.9675229
381	1.033469	0.97618484
382	1.0353605	0.97639793
383	0.9858767	0.9683565
384	1.0802866	1.2413774
385	1.0277349	1.1223819
386	0.9691449	1.0165886
387	0.96790624	1.0325242
388	1.0039092	1.0874578
389	0.9412646	1.022103
390	1.0912925	1.1999987
391	1.0175912	1.0817103
392	0.9705737	1.0575538
393	1.0958215	1.1879671
394	1.0475754	1.0857085
395	0.9490019	1.009211
396	1.124877	1.115793
397	1.071336	1.1491351
398	0.95484877	1.016299
399	0.97839564	1.0570551
400	1.0194705	1.0809976
401	1.0235704	1.0369564
402	1.0554376	1.1287456
403	1.04745	1.1154252
404	1.0880649	1.1514157
405	1.0043534	1.0086007
406	1.1387771	1.1895726
407	0.9911957	1.0278511
408	0.95549965	1.0006781
409	0.9669077	1.0185665
410	1.0129082	1.0751182
411	1.0125072	1.0416989
412	0.9835055	1.0198182
413	1.0092729	1.0342032
414	0.9975786	1.0032641
415	0.9881247	1.0505958
416	0.97309643	1.0646489
417	1.011559	1.0878112
418	1.0115879	1.0389519
419	0.9871839	0.9758225
420	0.93992484	0.9846114
421	1.0488778	1.1121347
422	0.9412087	0.97889906
423	0.9460015	0.98042357
424	1.124823	1.1501147
425	0.9900439	1.0406278
426	0.9900328	1.026646
427	1.1098368	1.1977236
428	1.0395964	1.1220058
429	1.0813192	1.1311462
430	1.0591246	1.118543
431	1.026092	1.0431814
432	0.93493325	0.9521835
433	0.9688883	0.98353225
434	1.0011107	1.0292875
435	1.027388	1.0624559
436	1.0276934	1.0074949
437	0.9850773	0.94051063
438	1.0031161	1.015342
439	1.0234183	1.0076575
440	1.0228089	1.021739
441	0.99386364	0.93881387
442	0.97871983	0.97736055
443	0.97328436	0.97434396
444	1.0027884	0.97411984
445	1.0159208	0.97061473
446	0.9741993	0.9361391
447	0.9942784	0.9719793
448	0.9703499	1.0982063
449	2.681842	3.5813353
450	0.73891205	0.74670655
451	0.89496756	0.9342216
452	0.95426905	1.0277905
453	0.97946787	1.0687767
454	1.0245823	1.123486
455	1.0328742	1.10594
456	1.0601846	1.1480749
457	0.9642024	1.0327171
458	0.9855254	1.0113792
459	1.0800682	1.1819218
460	0.990536	0.9924934
461	0.9447687	1.0158032
462	0.96198976	1.011699
463	0.94425184	1.0121951
464	1.0185517	1.1000957
465	1.0362929	1.0629921
466	0.9892875	1.0591664
467	1.0629569	1.1264472
468	0.9959953	1.0480613
469	0.9981906	1.0196933
470	1.0867167	1.1538222
471	0.99851596	1.0334713
472	1.0219043	1.1005569
473	1.012678	1.0828434
474	1.0133322	1.101078
475	1.0040134	1.074245
476	1.019531	1.0838968
477	1.0022388	1.0436089
478	0.9659418	1.0015082
479	0.9804645	1.0682663
480	0.9836852	1.0462215
481	0.9902965	1.0792016
482	0.96194243	1.0006328
483	0.9418593	0.9548618
484	1.0010673	1.0606164
485	0.97176313	1.0097632
486	0.9248929	0.98420453
487	0.9982137	1.0256513
488	0.9501965	0.97630835
489	1.0228959	1.099234
490	0.91249377	0.9387336
491	1.1049311	1.1833338
492	1.1474476	1.2645694
493	1.0548885	1.1088215
494	1.0014136	1.0337611
495	0.94092077	0.96274894
496	0.96129066	0.978906
497	0.9748154	0.9755117
498	0.97223866	0.9812091
499	1.0051636	1.0309863
500	0.9970761	0.9885376
501	0.9819388	0.9392538
502	1.0405552	1.0577744
503	0.9986646	0.9913927
504	1.0146081	1.0096242
505	0.97006273	0.9408389
506	0.9530633	0.9556815
507	0.9573045	0.9608385
508	0.978273	0.9856088
509	1.020216	0.9989532
510	0.98159397	0.94158876
511	1.0186661	1.0075308
512	0.98253965	1.0871738
513	0.99392265	1.079731
514	0.9634828	0.98124474
515	1.0323225	1.0880896
516	0.9721896	1.0273603
517	0.9966851	1.0492977
518	0.96420914	1.0141343
519	1.0183696	1.0680515
520	1.0390707	1.1079493
521	1.0287818	1.0874717
522	0.8822485	0.8844287
523	1.0341944	1.0871981
524	0.9734821	0.9702135
525	0.99584085	1.0440828
526	1.0289602	1.1034282
527	1.052444	1.1162181
528	1.0093434	1.0851823
529	0.9204166	0.9296561
530	1.0163566	1.1043321
531	0.9851288	1.0374168
532	0.98344153	1.0205191
533	0.9559212	0.9707533
534	0.981508	1.0178816
535	0.9889192	1.0180386
536	0.9452303	0.9996683
537	1.2076365	1.2247003
538	0.92718196	0.99078315
539	0.9478972	0.9962249
540	1.1183702	1.2122115
541	0.977663	1.0109683
542	0.9319019	0.96055025
543	0.96180195	1.0334637
544	1.0531276	1.1680558
545	1.0251923	1.1245712
546	0.89990246	0.9338854
547	0.9521762	0.96402365
548	0.9262572	0.95286316
549	0.9620113	0.9938306
550	1.0021049	1.0581226
551	0.9986833	1.0345446
552	0.97873753	0.984326
553	1.0671697	1.1385833
554	0.9987716	1.0204276
555	0.9966933	1.062567
556	1.10146	1.2354861
557	0.91468024	0.95106643
558	1.0346437	1.093694
559	0.8916389	0.9014818
560	0.9292464	0.94857097
561	0.9415224	0.9586709
562	0.9041023	0.92053384
563	0.9471042	0.98007673
564	1.0053573	1.015943
565	1.0130012	1.0025845
566	1.0406108	1.0991045
567	1.0132846	1.0293432
568	0.8928876	0.8846495
569	0.8320709	0.8071791
570	1.6455439	1.76879
571	0.884232	0.8817836
572	0.99522054	0.9922607
573	0.98524374	0.9785625
574	0.9834615	0.9787445
575	1.0713252	0.9902744
576	1.0474749	1.1767174
577	1.0087849	1.1027274
578	0.97565883	1.0063969
579	1.0357716	1.099007
580	1.0028956	1.068478
581	0.9794104	1.0395293
582	1.0034472	1.0646249
583	0.9789656	1.0149012
584	1.096148	1.1945424
585	1.0304198	1.104004
586	1.0238239	1.0469502
587	1.0241435	1.0814123
588	0.975024	0.9643857
589	1.0538373	1.1161197
590	1.0491605	1.1041659
591	1.0303254	1.0889509
592	1.032846	1.1372601
593	0.9823466	1.0013332
594	1.0253962	1.1301553
595	1.0830983	1.1530458
596	1.0366732	1.0985099
597	0.9879927	1.0040474
598	1.0572344	1.1145955
599	0.99911374	1.0494729
600	1.034949	1.1163894
601	1.033764	1.0976115
602	0.9891678	1.067195
603	0.9083095	0.944667
604	1.0063169	1.0558634
605	0.9877951	1.0261773
606	1.0056249	1.0478977
607	0.9787567	1.0584027
608	0.97679174	1.0278152
609	1.0665516	1.1535225
610	1.0836116	1.1314809
611	1.0463706	1.0304996
612	1.0276297	1.0799019
613	1.0192829	1.0676514
614	0.9845278	1.0305274
615	0.96273565	0.9805083
616	0.94345486	0.9390181
617	0.9652409	0.97987384
618	0.96010554	0.9672992
619	1.465224	1.6324527
620	1.0546014	1.1255984
621	1.0091398	1.0394362
622	0.9897597	1.0064205
623	0.9213248	0.9105249
624	0.96867573	0.9658763
625	1.0412745	1.044281
626	0.9278317	0.9303713
627	1.0105884	1.0074209
628	1.0432538	1.0442823
629	0.99266976	0.94209
630	1.0040239	1.0254754
631	1.0273666	1.0336838
632	0.99973565	0.97882193
633	0.9771712	0.9392414
634	1.0381324	1.0150577
635	1.0087647	0.98262924
636	1.0063182	0.99180126
637	1.0153332	0.98877513
638	0.9863447	0.9670226
639	1.0123343	0.9883547
640	1.0392544	1.1562837
641	1.0028452	1.0805769
642	1.0109776	1.0276295
643	0.9694445	1.0169288
644	0.9698354	1.01915
645	0.9475375	0.9994027
646	0.9639454	1.009587
647	0.986179	1.0308436
648	1.0086621	1.0806912
649	0.9901851	1.0626599
650	0.95541495	0.9677495
651	0.98881894	1.036582
652	0.9649619	0.96746254
653	1.272402	1.3619239
654	0.9158755	0.9453986
655	0.90845776	0.94841003
656	0.94860214	0.9867356
657	1.002752	1.0154326
658	1.0268922	1.1138717
659	0.98964643	1.0418574
660	1.0027548	1.0405471
661	1.0160145	1.001816
662	1.051196	1.081879
663	1.0336224	1.0646689
664	1.0147278	1.0587566
665	0.9694204	1.0222908
666	1.0029298	1.0663784
667	0.9842248	1.0090513
668	1.0440271	1.0759364
669	1.0337785	1.0585512
670	1.0369288	1.0660126
671	1.0089126	1.0817014
672	1.0006539	1.0612429
673	1.0702206	1.1808087
674	0.9656289	1.0055919
675	0.9877341	0.9684432
676	0.9400387	0.97546285
677	0.97653705	1.0037878
678	1.0165756	1.0603511
679	0.9803445	1.0020193
680	0.9699134	0.9817014
681	0.9953035	1.0386485
682	0.97790205	1.003522
683	0.98993033	1.0324118
684	1.0383594	1.1167029
685	1.0156177	1.0471306
686	0.9607421	0.9832531
687	0.99336964	1.0207217
688	0.97192883	0.96204346
689	0.98005855	0.9683124
690	0.97348905	0.96755767
691	0.9856046	0.9911201
692	0.9903617	0.9616505
693	0.97916377	0.9407671
694	0.99863964	0.99563193
695	0.973603	0.957295
696	0.9798589	0.96824497
697	0.95790404	0.9082657
698	1.4145569	1.478417
699	0.9320775	0.91197866
700	0.95919967	0.94325584
701	1.0301067	1.0006692
702	0.976908	0.9386387
703	0.9316437	0.9164615
704	1.0375831	1.1319935
705	0.98907596	1.0502323
706	1.0224078	1.0340983
707	1.0486101	1.1163079
708	1.0056884	1.0571337
709	0.9765649	1.0292679
710	1.0007656	1.0426265
711	0.9930308	1.0190673
712	1.1053152	1.1753803
713	1.0406173	1.0899404
714	1.0128003	1.0133251
715	1.0090795	1.0321956
716	1.0715932	1.0396582
717	1.060267	1.0930464
718	1.0613372	1.0829774
719	1.0042474	1.0530685
720	1.0381625	1.080096
721	0.9509206	0.9396473
722	0.96358013	0.99671215
723	1.0633212	1.1095643
724	0.99605817	1.0069348
725	1.064681	1.0423568
726	1.1038603	1.1282247
727	1.0305517	1.0474566
728	0.9745588	1.0018228
729	1.0478284	1.0713557
730	1.0962787	1.1495934
731	1.0139506	1.0250816
732	0.98145074	1.0158161
733	0.99386114	0.99269587
734	1.0285147	1.0251385
735	0.9466298	0.97779965
736	1.0676858	1.1348453
737	1.0524088	1.1287131
738	1.0374844	1.0645611
739	1.0315425	1.0087388
740	1.0637463	1.1011091
741	1.0535601	1.0785885
742	1.054628	1.0959493
743	1.0027049	1.02688
744	0.9806758	0.9682049
745	1.0352718	1.0763819
746	0.97519815	0.98456335
747	1.014603	1.044225
748	1.0523914	1.1150132
749	1.0204246	1.0487915
750	1.0365994	1.060168
751	1.0251215	1.0215398
752	0.90758413	0.8849325
753	1.0189338	0.99517286
754	1.0000219	0.989209
755	0.9829317	0.9728503
756	1.0697662	1.0321051
757	0.9809465	0.9189892
758	1.0872502	1.0970463
759	1.0485344	1.0149117
760	0.9431821	0.90629685
761	0.9721193	0.8819669
762	1.3241638	1.3169954
763	0.9654394	0.9161066
764	1.0549929	1.019144
765	1.0656904	1.0046252
766	1.0118285	0.9520665
767	1.059782	1.0301812
768	0.9547577	1.0280664
769	1.0167369	1.0775572
770	1.0245633	1.0362316
771	1.0931606	1.1543748
772	1.0276508	1.0692027
773	1.0295268	1.0851321
774	0.9868613	1.0288913
775	0.9448089	0.9836267
776	1.0598091	1.1320059
777	0.97401786	1.0293876
778	0.9690849	0.9656025
779	1.0242567	1.0846232
780	1.0239079	1.0184158
781	0.9919633	1.0372797
782	0.9354896	0.98156285
783	0.9615823	1.0139495
784	0.99211705	1.0290916
785	1.013287	1.0303112
786	1.014379	1.0661839
787	1.0613704	1.1050322
788	0.9979957	1.0366634
789	0.9653212	0.96294755
790	1.0057299	1.0393647
791	1.0277158	1.0519816
792	1.041443	1.0803257
793	1.033513	1.0669938
794	0.98581296	1.0312115
795	1.0418531	1.0806637
796	1.0299361	1.0608121
797	1.0338622	1.0604963
798	1.0406764	1.0676705
799	0.96834016	1.0206448
800	1.0835888	1.1907507
801	1.0791523	1.1976889
802	1.0921246	1.1528817
803	1.0139142	1.0120476
804	0.9843294	1.0503296
805	1.0457953	1.0995502
806	1.0113456	1.0778759
807	1.0479969	1.100308
808	0.95957386	0.9734478
809	1.075283	1.1582673
810	1.0305514	1.0625037
811	1.0156635	1.0749048
812	1.0271444	1.1208
813	1.0156932	1.0718544
814	0.9764738	1.0289792
815	0.9787839	1.0095081
816	0.947791	0.94419
817	0.9504042	0.9397322
818	0.9740045	0.98505485
819	0.9960476	1.0121444
820	0.98824805	0.9570019
821	1.0301282	0.98821247
822	1.0132186	1.0187132
823	1.0251331	1.0052462
824	1.0562662	1.0259097
825	0.98918086	0.93010634
826	1.0266308	1.0034689
827	0.99271536	0.96596813
828	1.0033951	0.97573286
829	1.0012511	0.96493626
830	1.0306432	0.9987054
831	0.9808865	0.96402484
832	1.0236566	1.1095315
833	1.0526496	1.1532924
834	0.97372127	0.9875488
835	0.915735	0.94731075
836	0.9787119	1.0153365
837	1.0213836	1.0695356
838	1.0507342	1.1092842
839	1.0078268	1.0275587
840	1.0551788	1.1280005
841	1.0006663	1.054109
842	0.98390996	0.9616207
843	0.97559726	1.0053035
844	0.9713612	0.9487714
845	0.999905	1.0539473
846	0.9943116	1.0439548
847	0.9762996	0.9975987
848	0.9972703	1.0537769
849	1.0078973	1.0018796
850	1.0189183	1.0605983
851	1.0136341	1.057277
852	1.0054955	1.0148156
853	0.9816035	0.9660724
854	1.0240866	1.0387989
855	1.0360072	1.0417991
856	1.0382967	1.0866594
857	0.96036434	0.9954697
858	0.9957362	1.049827
859	0.9886259	1.0203782
860	0.9709571	1.0112833
861	0.9542479	0.9863607
862	0.94505286	0.960727
863	0.9585454	1.0271997
864	1.01519	1.0780346
865	1.0413011	1.1270057
866	1.0502208	1.0910378
867	1.0241079	1.0123916
868	0.9141532	0.94776016
869	1.0750602	1.123202
870	0.90893024	0.9415547
871	1.0705019	1.1049713
872	1.0985562	1.116826
873	0.97035563	1.0125562
874	0.9660255	0.98506385
875	1.135245	1.2208339
876	1.052357	1.127902
877	1.0260426	1.0557292
878	1.0153072	1.0418774
879	0.98231536	0.9925901
880	0.96455896	0.9580315
881	0.94369245	0.9459062
882	0.92870826	0.9329881
883	0.97226954	0.99984103
884	1.0260476	1.012209
885	1.0382719	0.9806791
886	1.0301824	1.0503268
887	1.0608385	1.0416945
888	1.0316621	1.0250802
889	0.9968727	0.93572986
890	1.0366404	1.0392382
891	0.9972142	0.98976576
892	1.0218407	0.98754585
893	1.0407023	0.9985302
894	1.0225749	0.9741208
895	1.0205946	1.0055609
896	1.1107116	1.2023677
897	0.9931373	1.0440156
898	1.0197809	1.0181415
899	1.0542239	1.0906246
900	1.0949136	1.1285781
901	0.9961685	1.0652856
902	1.0173408	1.0867447
903	1.0590192	1.0750445
904	1.0158479	1.0767744
905	1.2045932	1.2856833
906	0.9926648	0.9822442
907	1.0324826	1.0695257
908	1.0734032	1.0427363
909	1.0461582	1.1350639
910	0.9843737	1.0371544
911	0.9572754	0.99981755
912	0.9457134	0.96367455
913	1.1725894	1.1679959
914	1.1503388	1.2688438
915	1.0645704	1.1531166
916	1.0586219	1.0995237
917	1.0445366	1.03088
918	1.1744059	1.2109007
919	1.0727179	1.1036414
920	1.0815783	1.0923437
921	1.007325	1.0774964
922	1.0050204	1.0730033
923	1.0894567	1.0894097
924	1.1144551	1.152877
925	1.1189861	1.1157067
926	1.0656236	1.0694852
927	1.0463727	1.08358
928	1.0693028	1.1639335
929	1.037022	1.1396955
930	1.0004959	1.0358083
931	1.0088859	0.9996055
932	1.0666168	1.1165005
933	1.0551944	1.0849798
934	1.0400045	1.0825267
935	1.069148	1.0868601
936	1.0259992	1.0251395
937	1.0253445	1.0827081
938	1.0509803	1.076878
939	1.0003306	1.048456
940	0.9964422	1.0517094
941	0.9899171	1.0145769
942	1.0844103	1.1166474
943	1.0103059	1.0011568
944	1.0015455	0.9814121
945	0.9697876	0.9480167
946	1.0394895	1.0353259
947	1.0331641	1.041898
948	1.0686333	1.0299554
949	1.0391511	0.9826488
